identifier,lines
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",through of monetary policy actions and stance is keeping core inflation muted. Crude oil
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","prices, however, remain volatile. Manufacturing firms covered in the Reserve Bank’s"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",enterprise surveys expect some softening in the growth of input costs and selling prices
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","in Q4:2023-24, while services and infrastructure firms expect higher input cost pressures"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","and growth in selling prices. Taking into account these factors, CPI inflation is projected"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",at 5.4 per cent for 2023-24 with Q4 at 5.0 per cent. Assuming a normal monsoon next
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","year, CPI inflation for 2024-25 is projected at 4.5 per cent with Q1 at 5.0 per cent; Q2 at"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",4.0 per cent; Q3 at 4.6 per cent; and Q4 at 4.7 per cent (Chart 2). The risks are evenly
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",balanced.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",11. The MPC noted that domestic economic activity is holding up well and is expected to
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","be backed by the momentum in investment demand, optimistic business sentiments and"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","rising consumer confidence. On the inflation front, large and repetitive food price shocks"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",are interrupting the pace of disinflation that is led by the moderation of core inflation.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Geopolitical events and their impact on supply chains, and volatility in international"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",financial markets and commodity prices are key sources of upside risks to inflation. The
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",cumulative effect of policy repo rate increases is still working its way through the
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",economy. The MPC will carefully monitor any signs of generalisation of food price
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",pressures to non-food prices which can fritter away the gains in the easing of core
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","inflation. As the path of disinflation needs to be sustained, the MPC decided to keep the"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",policy repo rate unchanged at 6.50 per cent in this meeting. Monetary policy must
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",continue to be actively disinflationary to ensure anchoring of inflation expectations and
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",fuller transmission. The MPC will remain resolute in its commitment to aligning inflation to
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",the target. The MPC also decided to remain focused on withdrawal of accommodation to
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","ensure that inflation progressively aligns to the target, while supporting growth."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","12. Dr. Shashanka Bhide, Dr. Ashima Goyal, Dr. Rajiv Ranjan, Dr. Michael Debabrata"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Patra and Shri Shaktikanta Das voted to keep the policy repo rate unchanged at 6.50 per
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",cent. Prof. Jayanth R. Varma voted to reduce the policy repo rate by 25 basis points.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","13. Dr. Shashanka Bhide, Dr. Ashima Goyal, Dr. Rajiv Ranjan, Dr. Michael Debabrata"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Patra and Shri Shaktikanta Das voted to remain focused on withdrawal of
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","accommodation to ensure that inflation progressively aligns to the target, while"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",supporting growth. Prof. Jayanth R. Varma voted for a change in stance to neutral.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","14. The minutes of the MPC’s meeting will be published on February 22, 2024."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","15. The next meeting of the MPC is scheduled during April 3 to 5, 2024."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Voting on the Resolution to keep the policy repo rate unchanged at 6.50 per cent
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Member                                                       Vote
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Dr. Shashanka Bhide                                          Yes
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Dr. Ashima Goyal                                             Yes
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Prof. Jayanth R. Varma                                       No
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Dr. Rajiv Ranjan                                             Yes
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Dr. Michael Debabrata Patra                                  Yes
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Shri Shaktikanta Das                                         Yes
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Statement by Dr. Shashanka Bhide
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",16. The First Advance Estimates of GDP for FY 2023-24 released by the National
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Statistical Office placed year-on-year real GDP growth for FY 2023-24 at 7.3 per cent,"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",exceeding the 7.2 per cent in the previous year. The implicit growth rate of GDP for the
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","second half of 2023-24 at 7 per cent, is well above the projections in the December 2023"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",MPC meeting. There has been no slow down in growth in FY 2023-24 despite the
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","adverse monsoon conditions affecting agriculture, weak external demand conditions,"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",risks to the global supply chains due to the geopolitical conflicts and elevated policy
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",interest rates during much of the financial year. Moderation in consumer level inflation
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","rate, decline in commodity prices in the international markets impacting input costs for"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","the domestic producers, and increased pace of government capex spending have offset"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",the impact of adverse growth conditions. The recent broader high frequency indicators of
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","economic activity such as non-food credit, PMIs for manufacturing and services, GST"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",collections point to strong demand conditions.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",17. While the growth experience has not been evenly shared across output sectors and
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","across sources of demand, broader supportive economic and monetary policies have"
