"","identifier","lines"
"1445","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1446","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","41. In sum, there is ample scope for an additional rate cut. The question is: Is there a"
"1447","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","need for one during this policy cycle?"
"1448","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1449","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","42. When the impact of the demand boost from the 100 bps cuts in repo rates this year"
"1450","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","is yet to play out fully, a further rate cut today runs the risk of an overdose. The intended"
"1451","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","effects of the monetary easing and the fiscal measures are still working through the"
"1452","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","system. 9"
"1453","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1454","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","43. The risk aversion among investors seems to have eased, driven by a demand"
"1455","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","boost from the fiscal side (income tax reliefs and GST rationalisation), conducive"
"1456","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","financial conditions, broad-based transmission of rate cuts 10, robust system-level"
"1457","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","financial parameters, and easing of micro and macroprudential regulations on banks."
"1458","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Recent signals on Private capex growth are encouraging. Several indicators"
"1459","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","corroborate this inference, such as an increased capacity utilisation 11, significant"
"1460","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","pickups in the flow of funds to the corporate sector through non-bank channels, among"
"1461","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","others."
"1462","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1463","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","44. Going forward, buoyancy in a broad range of service sectors and a resilient"
"1464","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","agriculture sector are supportive of growth momentum. The demand is expected to"
"1465","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","get a further boost from the GST rationalisation and the festival season. Domestic"
"1466","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","demand should continue to support fixed investment, amid continued monetary"
"1467","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","transmission driven by adequate liquidity in the system and the remaining three"
"1468","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","tranches of CRR cuts."
"1469","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1470","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","45. Under such conditions, the available scope for rates can be leveraged to sustain"
"1471","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the growth momentum for a longer period by extending the easing cycle. A change in"
"1472","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","stance to accommodative increases the odds of a rate cut in this easing cycle. Backed"
"1473","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","by conducive liquidity conditions and further improvement in transmission, it will add to"
"1474","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the income and demand effects induced by the 100 bps rate cuts so far. Furthermore,"
"1475","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","an expectation of a rate cut will likely put downward pressure on bond yields, thereby"
"1476","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","enhancing the appeal of the bond market for borrowers seeking to raise funds through"
"1477","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","market instruments. Yet, the accommodative stance gives the RBI flexibility to delay"
"1478","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","or hold back on further cuts in the event of unexpected developments in food prices or"
"1479","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","on the external front."
"1480","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1481","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","46. In view of the above, I vote to take a pause in the policy repo rate under the liquidity"
"1482","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","adjustment facility (LAF) at 5.50 per cent."
"1483","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1484","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","47. But I am in favour of changing the monetary policy stance from ‘neutral’ to"
"1485","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","“accommodative”."
"1486","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1487","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Statement by Shri Indranil Bhattacharyya"
"1488","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1489","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","48. In a world characterised by geo-political strife, geo-economic fragmentation and"
"1490","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","strategic realignment brought about by all-pervasive uncertainty on trade and tariffs,"
"1491","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1492","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","9 According to RBI, in response to the cumulative policy repo rate cut of 100 bps in the current easing cycle (as of"
"1493","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1494","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","September 29), the WACR, the 3-month T-bill rate, the 3-month CP issued by NBFCs, and the 3-month CD rate"
"1495","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","declined by 92 bps, 105 bps, 118 bps, and 147 bps, respectively."
"1496","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","10 During February-August 2025, in response to the 100-basis points (bps) cut in the policy repo rate, the WALR of"
"1497","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1498","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","SCBs moderated by 58 bps for fresh rupee loans; 71 bps is on account of interest rate effect. The moderation for"
"1499","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","outstanding rupee loans is to the extent of 55 bps. On the deposit side, the WADTDR on fresh deposits declined by"
"1500","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","106 bps, while that on outstanding deposits softened by 22 bps over the same period. Transmission has been"
"1501","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","broad-based across sectors. The system-level financial parameters related to capital adequacy, liquidity, asset"
"1502","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","quality and profitability of the SCBs continue to remain healthy. The system-level parameters of NBFCs too are"
"1503","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","sound, with improved GNPA ratios."
